"","importer_iso3","oil_tonnes","country","year"
"1","CAN",100.2,"Canada",2024
"2","MEX",80.3,"Mexico",2024
"3","USA",819.1,"USA",2024
"4","ARG",27.4,"Argentina",2024
"5","BRA",119,"Brazil",2024
"6","CHL",18.5,"Chile",2024
"7","COL",20.3,"Colombia",2024
"8","ECU",13.5,"Ecuador",2024
"9","PER",12.1,"Peru",2024
"10","TTO",1.6,"Trinidad and Tobago",2024
"11","VEN",14.9,"Venezuela",2024
"12",NA,24.9,"Central America",2024
"13",NA,26.1,"Other Caribbean",2024
"14",NA,12,"Other South America",2024
"15","AUT",11,"Austria",2024
"16","BEL",27.1,"Belgium",2024
"17","BGR",5.3,"Bulgaria",2024
"18","HRV",3.9,"Croatia",2024
"19","CYP",2.5,"Cyprus",2024
"20",NA,9.8,"Czech Republic",2024
"21","DNK",6.9,"Denmark",2024
"22","EST",1.3,"Estonia",2024
"23","FIN",7.5,"Finland",2024
"24","FRA",64.2,"France",2024
"25","DEU",96.9,"Germany",2024
"26","GRC",14.8,"Greece",2024
"27","HUN",7.7,"Hungary",2024
"28","ISL",1,"Iceland",2024
"29","IRL",7.1,"Ireland",2024
"30","ITA",58.5,"Italy",2024
"31","LVA",1.5,"Latvia",2024
"32","LTU",3.2,"Lithuania",2024
"33","LUX",2.1,"Luxembourg",2024
"34","NLD",38.2,"Netherlands",2024
"35","MKD",1.1,"North Macedonia",2024
"36","NOR",8.5,"Norway",2024
"37","POL",32.4,"Poland",2024
"38","PRT",10.3,"Portugal",2024
"39","ROU",11.6,"Romania",2024
"40","SVK",3.7,"Slovakia",2024
"41","SVN",2.3,"Slovenia",2024
"42","ESP",61.8,"Spain",2024
"43","SWE",11.9,"Sweden",2024
"44","CHE",8.8,"Switzerland",2024
"45","TUR",56.2,"TÃ¼rkiye",2024
"46","UKR",12.9,"Ukraine",2024
"47","GBR",62,"United Kingdom",2024
"48",NA,18.7,"Other Europe",2024
"49","AZE",5.8,"Azerbaijan",2024
"50","BLR",7.6,"Belarus",2024
"51","KAZ",16.4,"Kazakhstan",2024
"52","RUS",164.5,"Russian Federation",2024
"53","TKM",6.4,"Turkmenistan",2024
"54",NA,NA,"USASR",2024
"55","UZB",6,"Uzbekistan",2024
"56",NA,5.3,"Other CIS",2024
"57","IRN",87.6,"Iran",2024
"58","IRQ",40.7,"Iraq",2024
"59","ISR",9.7,"Israel",2024
"60","KWT",22,"Kuwait",2024
"61","OMN",10.7,"Oman",2024
"62","QAT",14,"Qatar",2024
"63","SAU",170.3,"Saudi Arabia",2024
"64","ARE",48.3,"United Arab Emirates",2024
"65",NA,23.2,"Other Middle East",2024
"66","DZA",20.6,"Algeria",2024
"67","EGY",36.2,"Egypt",2024
"68","MAR",14.1,"Morocco",2024
"69","ZAF",21.9,"South Africa",2024
"70",NA,30.8,"Eastern Africa",2024
"71",NA,14.7,"Middle Africa",2024
"72",NA,47.4,"Western Africa",2024
"73",NA,19.3,"Other Northern Africa",2024
"74",NA,2.6,"Other Southern Africa",2024
"75","AUS",51.1,"Australia",2024
"76","BGD",12.3,"Bangladesh",2024
"77","CHN",772.5,"China",2024
"78",NA,15.1,"China Hong Kong SAR",2024
"79","IND",257.2,"India",2024
"80","IDN",71.6,"Indonesia",2024
"81","JPN",151.9,"Japan",2024
"82","MYS",41,"Malaysia",2024
"83","NZL",7.4,"New Zealand",2024
"84","PAK",18.9,"Pakistan",2024
"85","PHL",22.3,"Philippines",2024
"86","SGP",74.8,"Singapore",2024
"87","KOR",126,"Rep. of Korea",2024
"88","LKA",5.7,"Sri Lanka",2024
"89","TWN",37.2,"Taiwan",2024
"90","THA",52.5,"Thailand",2024
"91","VNM",30,"Vietnam",2024
"92",NA,30.6,"Other Asia Pacific",2024
"93",NA,2004.2,"of which: OECD",2024
"94",NA,2582.4,"Non-OECD",2024
"95",NA,505.9,"European Union #",2024
